"date","new_infections","cum_infections","new_deaths","new_severe"
2021-07-06,544,200544,0,8
2021-07-07,633,201177,0,12
2021-07-08,635,201812,0,15
2021-07-09,599,202411,1,10
2021-07-10,487,202898,1,18
2021-07-11,494,203392,1,14
2021-07-12,516,203908,0,18
2021-07-13,879,204787,0,17
2021-07-14,1132,205919,0,29
2021-07-15,1314,207233,0,29
2021-07-16,1401,208634,3,21
2021-07-17,1171,209805,0,21
2021-07-18,1006,210811,1,25
2021-07-19,1645,212456,1,33
2021-07-20,1535,213991,1,39
2021-07-21,1516,215507,1,41
2021-07-22,1384,216891,2,48
2021-07-23,1307,218198,2,54
2021-07-24,1097,219295,2,28
2021-07-25,1068,220363,1,40
2021-07-26,1343,221706,0,45
2021-07-27,1494,223200,2,30
2021-07-28,1346,224546,3,31
2021-07-29,1258,225804,6,26
2021-07-30,1075,226879,5,37
2021-07-31,903,227782,5,34
2021-08-01,902,228684,7,36
2021-08-02,1220,229904,3,39
2021-08-03,1306,231210,1,25
2021-08-04,1401,232611,3,39
2021-08-05,1446,234057,4,46
2021-08-06,1283,235340,5,51
2021-08-07,1097,236437,3,40
2021-08-08,1089,237526,8,38
2021-08-09,1457,238983,3,44
2021-08-10,1476,240459,3,51
2021-08-11,1495,241954,5,46
2021-08-12,1406,243360,6,49
2021-08-13,1339,244699,6,37
2021-08-14,1262,245961,4,40
2021-08-15,1356,247317,2,41
2021-08-16,1714,249031,4,53
2021-08-17,1762,250793,7,55
2021-08-18,1831,252624,11,37
2021-08-19,1869,254493,7,41
2021-08-20,1628,256121,5,44
2021-08-21,1529,257650,12,41
2021-08-22,1322,258972,10,40
2021-08-23,1813,260785,8,42
2021-08-24,1724,262509,5,53
2021-08-25,1765,264274,4,49
2021-08-26,1683,265957,5,49
2021-08-27,1487,267444,5,49
2021-08-28,1230,268674,10,35
2021-08-29,1095,269769,8,41
2021-08-30,1467,271236,7,43
2021-08-31,1643,272879,7,49
2021-09-01,1539,274418,13,51
2021-09-02,1445,275863,8,44
2021-09-03,1434,277297,6,50
2021-09-04,1250,278547,7,38
2021-09-05,1283,279830,13,38
2021-09-06,1789,281619,4,49
2021-09-07,1724,283343,5,57
2021-09-08,1591,284934,10,57
2021-09-09,1671,286605,6,40
2021-09-10,1447,288052,1,27
2021-09-11,1047,289099,6,32
2021-09-12,920,290019,8,32
2021-09-13,1446,291465,10,43
2021-09-14,1327,292792,10,36
2021-09-15,1214,294006,3,44
2021-09-16,1138,295144,7,34
2021-09-17,1056,296200,10,36
2021-09-18,942,297142,4,33
2021-09-19,948,298090,5,24
2021-09-20,1297,299387,4,33
2021-09-21,1248,300635,4,43
2021-09-22,1138,301773,9,37
2021-09-23,1102,302875,8,27
2021-09-24,991,303866,6,32
2021-09-25,866,304732,5,30
2021-09-26,918,305650,4,24
2021-09-27,1383,307033,4,34
2021-09-28,1141,308174,3,23
2021-09-29,1205,309379,3,31
2021-09-30,1015,310394,5,29
2021-10-01,974,311368,2,33
2021-10-02,933,312301,4,22
2021-10-03,1031,313332,1,25
2021-10-04,1387,314719,3,27
2021-10-05,1339,316058,3,35
2021-10-06,1307,317365,2,32
2021-10-07,1330,318695,3,27
2021-10-08,1272,319967,4,23
2021-10-09,1051,321018,5,26
2021-10-10,1186,322204,2,18
2021-10-11,1512,323716,5,33
2021-10-12,1460,325176,3,29
2021-10-13,1185,326361,5,12
